TIME,LAT,LON,ALTITUDE,VELOCITY
18:34:55,"42,7618767836346","11,0982264913079",0,"363,6"
18:35:02,"42,7555777601049","11,0843134031915",0,"359,4"
18:35:07,"42,7558744935831","11,0805482044891",0,"357,9"
18:35:12,"42,7546867495201","11,0745489134477",0,"351,6"
18:35:18,"42,7471893331659","11,0592058101",0,"349,6"
18:35:24,"42,7392962192213","11,0435759050073",0,"348,6"
18:35:29,"42,7392649082379","11,0394362408084",0,"347,8"
18:35:35,"42,7369035417823","11,0319778184619",0,"347,8"
18:35:40,"42,7287828237947","11,0164934636838",0,"348,0"
18:35:46,"42,7273668105598","11,0105094765369",0,"343,9"
18:35:52,"42,7232948716971","11,0009115408796",0,"342,4"
18:35:57,"42,7199001918919","10,9903415704502",0,"342,1"
18:36:02,"42,7170753163904","10,9825958966878",0,"338,4"
18:36:19,"42,6967936243675","10,9406902371648",0,"337,6"
18:36:24,"42,6954253911658","10,9351364152323",0,"336,1"
18:36:31,"42,6871133651507","10,9191055869743",0,"336,3"
18:36:36,"42,6906098293299","10,9177222109585",0,"334,6"
18:36:41,"42,6846063223941","10,9066061302954",0,"332,5"
18:36:47,"42,6789184196507","10,8941362322393",0,"332,6"
18:36:53,"42,6773886638701","10,8885829867121",0,"328,1"
18:36:58,"42,674791604113","10,8799364883738",0,"327,1"
18:37:04,"42,6700009236359","10,870641425503",0,"325,4"
18:37:10,"42,6576098376597","10,8564488392658",0,"326,1"
18:37:15,"42,6569464948856","10,857525425129",0,"324,8"
18:37:21,"42,6441311397635","10,8432187563917",0,"328,1"
18:37:26,"42,6402810524416","10,8371914737339",0,"330,4"
