TIME,LAT,LON,ALTITUDE,VELOCITY
18:25:48,"39,2843056722791","11,3586822009738",28000,"514,2"
18:25:53,"39,2933862118886","11,3776810295934",28000,"513,4"
18:25:59,"39,3055501646885","11,3865606308588",28000,"512,7"
18:26:05,"39,3195094227149","11,3861320774992",28000,"512,0"
18:26:10,"39,3326534752968","11,3844861556903",28000,"511,4"
18:26:16,"39,3457013465667","11,3887413144723",28000,"510,8"
18:26:21,"39,35667629255","11,3981670497038",28000,"510,2"
18:26:27,"39,3717111044074","11,3924017505609",28000,"509,7"
18:26:32,"39,3800379924984","11,4153993433699",28000,"509,2"
18:26:38,"39,3949195333241","11,4048070629164",28000,"508,9"
18:26:44,"39,4059152036271","11,4141314039778",28000,"508,2"
18:26:49,"39,4198994000692","11,4082353840611",28000,"507,3"
18:26:55,"39,4310733704194","11,4166232603618",28000,"506,4"
18:27:00,"39,4448772356854","11,4117048460362",28000,"505,2"
18:27:06,"39,4588048542741","11,4116489875091",28000,"504,5"
18:27:12,"39,4672267471675","11,4284519610003",28000,"503,0"
18:27:17,"39,4810044838225","11,4236692590065",28000,"501,8"
18:27:22,"39,4958224316122","11,4138399493308",28000,"500,8"
18:27:29,"39,5069838455692","11,4221910463471",28000,"500,1"
18:27:34,"39,5144211533272","11,4493936561183",28000,"498,8"
18:27:39,"39,530021313255","11,4353929706536",28000,"497,6"
18:28:29,"39,6421625756505","11,4633613540067",28000,"496,6"
18:28:35,"39,6550176731963","11,4633708948346",28000,"495,6"
18:28:41,"39,6672120589302","11,4718597850173",28000,"494,7"
18:28:46,"39,6792395893321","11,4759425772931",28000,"493,8"
18:28:51,"39,6930906183804","11,4763698784262",28000,"493,0"
18:28:58,"39,7051135587548","11,4804778685646",28000,"492,2"
18:29:03,"39,7197118336643","11,4720702937131",28000,"491,5"
18:29:08,"39,7311264672633","11,4843648872559",28000,"490,9"
18:29:15,"39,7421920356659","11,4931561467107",28000,"491,4"
18:29:20,"39,7593290848361","11,4726373950118",28000,"492,1"
18:29:25,"39,7715114220157","11,4810538062588",28000,"492,8"
18:29:31,"39,7809700666781","11,4974797018759",28000,"493,3"
18:29:37,"39,7929828080849","11,5016466063615",28000,"493,3"
18:29:42,"39,807505648756","11,4937660761637",28000,"493,3"
18:29:47,"39,8177794425005","11,5062597655768",28000,"493,1"
18:29:53,"39,8324934127892","11,5025992507862",28000,"493,0"
18:29:59,"39,8427882530916","11,514994793897",28000,"492,9"
18:30:04,"39,8570421344337","11,503428611642",28000,"492,4"
18:30:10,"39,8674951921064","11,5149835857502",28000,"491,6"
18:30:15,"39,8802541546052","11,5156206722959",28000,"490,9"
18:30:21,"39,8937171905452","11,5079969811415",28000,"490,3"
18:30:27,"39,9046891072026","11,5119756668555",28000,"489,3"
18:30:32,"39,9135671254017","11,5236712790939",28000,"488,3"
18:30:54,"39,9599508791919","11,5403080830733",28000,"487,3"
18:31:00,"39,9764771998225","11,5186840284542",28000,"486,4"
18:31:06,"39,9842738014682","11,537186023315",28000,"485,6"
18:31:11,"39,9976417581305","11,530272284133",28000,"484,9"
18:31:17,"40,0095994307266","11,5347218369898",28000,"484,1"
18:31:22,"40,0220517626055","11,5321012284542",28000,"483,5"
18:31:28,"40,0329960511556","11,5362200527523",28000,"482,8"
18:31:34,"40,0449439382106","11,5407181475091",28000,"482,3"
18:31:39,"40,0575183726029","11,5375533177608",28000,"481,0"
18:31:44,"40,0677267230022","11,5450323299235",28000,"479,3"
18:31:51,"40,0794186923265","11,5459022371626",28000,"477,8"
18:31:56,"40,0926966810201","11,539744097894",28000,"476,4"
18:32:01,"40,1005589960557","11,5574886389287",28000,"474,6"
18:32:08,"40,1125008680881","11,5620223981541",28000,"473,0"
18:32:13,"40,1219023073302","11,5731616953882",28000,"471,4"
18:32:18,"40,1306448836789","11,5874071062865",28000,"469,8"
18:32:23,"40,1438154865777","11,5813916029067",28000,"468,3"
18:32:30,"40,1554530847254","11,5824001962006",28000,"466,8"
18:32:35,"40,168929302851","11,5800840904129",28000,"465,6"
18:32:40,"40,179879367121","11,5842720928122",28000,"464,7"
18:32:46,"40,1876418658304","11,5978680168379",28000,"463,4"
18:32:52,"40,2024447726073","11,5896274840121",28000,"462,2"
18:32:57,"40,2123880167217","11,593454162866",28000,"460,8"
18:33:03,"40,2211738326606","11,6072559014915",28000,"459,6"
18:33:08,"40,2342631855275","11,6018769918865",28000,"458,4"
18:33:14,"40,2452007922272","11,6060905431233",28000,"457,4"
18:33:20,"40,257602141167","11,603872927694",28000,"456,0"
18:33:25,"40,269869469184","11,6023095761257",28000,"454,8"
18:33:30,"40,2794571846876","11,6123964395665",28000,"454,1"
18:33:36,"40,2883063316219","11,625817700767",28000,"452,9"
18:33:42,"40,3026240973942","11,6152235071197",28000,"452,1"
18:33:47,"40,312893512782","11,6223442859439",28000,"451,5"
18:33:52,"40,3231676106557","11,6294608664504",28000,"450,8"
18:33:59,"40,3340953095407","11,6337306136164",28000,"450,1"
18:34:04,"40,3477076538616","11,626398083769",28000,"449,6"
18:34:09,"40,3589710646835","11,6338802710589",28000,"449,2"
18:34:15,"40,3691268617312","11,6414833741035",28000,"449,0"
18:34:21,"40,3807967649235","11,6425607594299",28000,"448,9"
18:34:26,"40,3909639891276","11,6501179848001",28000,"448,6"
18:34:32,"40,4022646056869","11,6574776111581",28000,"448,7"
18:34:37,"40,4118548114978","11,6676061526946",28000,"448,8"
18:34:43,"40,4227885897858","11,6718634514268",28000,"448,8"
18:34:49,"40,4360281287182","11,6707759995031",28000,"449,3"
