First Lan, Lon: 43.722971,11.202176
TIME: 18:33:16, LAT: 42,8525317137509, LON: 12,0017492425473
TIME: 18:33:22, LAT: 42,8438113654443, LON: 12,0280351753643
TIME: 18:33:27, LAT: 42,8326420123769, LON: 12,0213620409113
TIME: 18:33:32, LAT: 42,8207326601117, LON: 12,0278072668423
TIME: 18:33:38, LAT: 42,8096690074065, LON: 12,032356652923
TIME: 18:33:44, LAT: 42,7997861732752, LON: 12,049112773224
TIME: 18:33:49, LAT: 42,7892060304787, LON: 12,0592825353436
TIME: 18:33:56, LAT: 42,7773039600543, LON: 12,0549493264097
TIME: 18:34:01, LAT: 42,7678807093441, LON: 12,079065716425
TIME: 18:34:06, LAT: 42,7562452046072, LON: 12,0907038225374
TIME: 18:34:11, LAT: 42,7445961043643, LON: 12,0885111488847
TIME: 18:34:18, LAT: 42,7338033545388, LON: 12,0978540307195
TIME: 18:34:23, LAT: 42,7224209981631, LON: 12,1147905881962
TIME: 18:34:29, LAT: 42,7114878165374, LON: 12,1236588246077
TIME: 18:34:34, LAT: 42,6997554781163, LON: 12,1191952491767
TIME: 18:34:40, LAT: 42,689106991332, LON: 12,1334536723933
TIME: 18:34:46, LAT: 42,6769537087437, LON: 12,1402170249837
TIME: 18:35:08, LAT: 42,6381452159019, LON: 12,1928330132092
TIME: 18:35:13, LAT: 42,6288173619315, LON: 12,1947674594671
TIME: 18:35:18, LAT: 42,6206935473124, LON: 12,2154200806519
TIME: 18:35:25, LAT: 42,6112802062691, LON: 12,232433332241
TIME: 18:35:30, LAT: 42,6028082726258, LON: 12,2440187596021
TIME: 18:35:35, LAT: 42,5940655248904, LON: 12,261935369621
TIME: 18:35:41, LAT: 42,5853047485871, LON: 12,274499055918
TIME: 18:35:47, LAT: 42,5756227216428, LON: 12,2817908649416
TIME: 18:35:52, LAT: 42,5661377672502, LON: 12,3034912588321
TIME: 18:35:58, LAT: 42,5570218923174, LON: 12,3151147797783
TIME: 18:36:03, LAT: 42,546890445583, LON: 12,3248245820758
TIME: 18:36:09, LAT: 42,5370259909636, LON: 12,3422586375596
TIME: 18:36:15, LAT: 42,52759507296, LON: 12,3529216942033
TIME: 18:36:20, LAT: 42,517409321564, LON: 12,3692285443583
TIME: 18:36:25, LAT: 42,5085867173344, LON: 12,3811274982077
TIME: 18:36:32, LAT: 42,4980615823682, LON: 12,3965911469816
TIME: 18:36:37, LAT: 42,4890379961126, LON: 12,407529866317
TIME: 18:36:42, LAT: 42,4794434834658, LON: 12,4211114388404
TIME: 18:36:49, LAT: 42,4699393069839, LON: 12,4329861520094
TIME: 18:36:54, LAT: 42,4616281433601, LON: 12,4374834584515
TIME: 18:36:59, LAT: 42,4498294885197, LON: 12,4595230977543
TIME: 18:37:05, LAT: 42,441251468126, LON: 12,4694167903048
TIME: 18:37:11, LAT: 42,4298790604664, LON: 12,4907069766228
TIME: 18:37:16, LAT: 42,4216929719296, LON: 12,4928328692363
TIME: 18:37:22, LAT: 42,4115934371616, LON: 12,5109351215142
TIME: 18:37:27, LAT: 42,4022946907697, LON: 12,5206953970188
TIME: 18:37:33, LAT: 42,3942949507423, LON: 12,5292486584878
TIME: 18:37:39, LAT: 42,3828524677212, LON: 12,5485933022009
TIME: 18:37:44, LAT: 42,3742101682015, LON: 12,5578637121307
TIME: 18:37:49, LAT: 42,3642780028839, LON: 12,5704046167456
TIME: 18:37:55, LAT: 42,3552205682355, LON: 12,5829436207655
TIME: 18:38:01, LAT: 42,3416163845969, LON: 12,606457928779
TIME: 18:38:06, LAT: 42,3338634533763, LON: 12,6139132192933
TIME: 18:38:11, LAT: 42,3247447816211, LON: 12,6242465761457
TIME: 18:38:18, LAT: 42,31307021459, LON: 12,6397134306561
TIME: 18:38:23, LAT: 42,302817019717, LON: 12,648551015332
TIME: 18:38:28, LAT: 42,2923136280114, LON: 12,6599291363844
TIME: 18:38:34, LAT: 42,2809554540436, LON: 12,6747266831326
TIME: 18:38:40, LAT: 42,2712637258538, LON: 12,6832046475898
TIME: 18:38:45, LAT: 42,2618183773944, LON: 12,6931163394148
TIME: 18:38:51, LAT: 42,2499422694897, LON: 12,7065978331433
TIME: 18:38:56, LAT: 42,2390539311879, LON: 12,7176756377125
TIME: 18:39:03, LAT: 42,2293613946211, LON: 12,7284289700922
TIME: 18:39:08, LAT: 42,2187611523729, LON: 12,7378959697688
TIME: 18:39:13, LAT: 42,2089832224764, LON: 12,7497406402781
TIME: 18:39:18, LAT: 42,1969908278556, LON: 12,7619648155724
TIME: 18:39:25, LAT: 42,183090096614, LON: 12,7777459080299
TIME: 18:39:30, LAT: 42,1765227773149, LON: 12,7838406774302
TIME: 18:39:35, LAT: 42,1687188352302, LON: 12,7930288536538
TIME: 18:39:42, LAT: 42,1566944422783, LON: 12,8047249689626
TIME: 18:39:47, LAT: 42,1473127087914, LON: 12,814777092244
TIME: 18:39:52, LAT: 42,1374745398906, LON: 12,8266063228224
TIME: 18:39:58, LAT: 42,1353107321031, LON: 12,8304980729926
TIME: 18:40:04, LAT: 42,116138805651, LON: 12,8485782332634
TIME: 18:40:09, LAT: 42,1042646102049, LON: 12,8606605600643
TIME: 18:40:15, LAT: 42,0949460161939, LON: 12,8717051248455
TIME: 18:40:20, LAT: 42,0846900702727, LON: 12,883061800955
TIME: 18:40:27, LAT: 42,0696356972629, LON: 12,8974143892077
TIME: 18:40:32, LAT: 42,0555390604866, LON: 12,9102536584511
TIME: 18:40:37, LAT: 42,0481210170598, LON: 12,9197333409207
TIME: 18:40:43, LAT: 42,0389888828684, LON: 12,930005598186
TIME: 18:40:49, LAT: 42,0327834382268, LON: 12,9382628047493
TIME: 18:40:54, LAT: 42,0189928780969, LON: 12,9504972313648
TIME: 18:41:00, LAT: 42,0071055840785, LON: 12,9597029970392
TIME: 18:41:05, LAT: 41,995006038878, LON: 12,9685122580966
TIME: 18:41:11, LAT: 41,9868312916623, LON: 12,9736954309956
TIME: 18:41:16, LAT: 41,9736466448658, LON: 12,9792938797205
TIME: 18:41:22, LAT: 41,9605339604383, LON: 12,9844155142271
TIME: 18:41:27, LAT: 41,9535186935369, LON: 12,9869261517613
TIME: 18:41:33, LAT: 41,9402800813522, LON: 12,9914231413909
TIME: 18:41:39, LAT: 41,9278128989292, LON: 12,9952631088036
TIME: 18:41:44, LAT: 41,916304466154, LON: 12,9984729201452
TIME: 18:41:49, LAT: 41,906451872036, LON: 13,0009687183992
TIME: 18:41:56, LAT: 41,8948568851657, LON: 13,0050268512624
TIME: 18:42:01, LAT: 41,8777173450474, LON: 13,0083497930956
TIME: 18:42:06, LAT: 41,8695866859382, LON: 13,0110949060393
TIME: 18:42:13, LAT: 41,8569920300567, LON: 13,0128652457719
TIME: 18:42:18, LAT: 41,8470466122881, LON: 13,0154088063001
TIME: 18:42:24, LAT: 41,8343306701432, LON: 13,0193382906824
TIME: 18:42:29, LAT: 41,8158848762266, LON: 13,0217263853072
TIME: 18:42:35, LAT: 41,8131317789675, LON: 13,0246011880826
TIME: 18:42:40, LAT: 41,7975175081145, LON: 13,0275400106125
TIME: 18:42:46, LAT: 41,7853262183528, LON: 13,0300711420004
